tick,tgid,tid,is_thread,state,cpu_id,priority
1,1,1,0,4,1,0
1,1,1,0,4,1,0
1,1,1,0,4,0,0
1,1,1,0,4,1,0
1,1,1,0,4,0,0
1,1,1,0,4,2,0
1,1,1,0,4,1,0
1,1,1,0,4,2,0
1,1,1,0,4,1,0
1,1,1,0,4,2,0
1,1,1,0,4,1,0
1,1,1,0,4,2,0
1,1,1,0,4,1,0
1,1,1,0,4,2,0
1,1,1,0,4,1,0
1,1,1,0,4,1,0
1,1,1,0,4,0,0
1,1,1,0,4,2,0
1,1,1,0,4,1,0
1,1,1,0,4,1,0
1,1,1,0,4,2,0
1,1,1,0,4,1,0
1,2,2,0,4,1,0
1,2,2,0,4,2,0
1,2,2,0,4,1,0
1,2,2,0,4,2,0
1,2,2,0,4,0,0
1,2,2,0,4,2,0
1,2,2,0,4,1,0
1,2,2,0,4,2,0
1,2,2,0,4,1,0
37,2,2,0,4,2,0
37,3,3,0,4,2,0
37,3,3,0,4,1,0
37,3,3,0,4,0,0
38,3,3,0,4,2,0
38,3,3,0,4,0,0
38,3,3,0,4,1,0
38,3,4,1,4,1,0
38,3,5,1,4,0,0
38,3,6,1,4,2,0
38,3,5,1,4,0,0
39,3,5,1,4,0,0
39,3,4,1,4,2,1
43,3,5,1,4,0,1
43,3,6,1,4,1,0
43,3,3,0,4,2,0
43,3,3,0,4,1,0
48,3,5,1,4,0,2
56,3,5,1,4,1,3
72,3,5,1,4,1,3
86,3,5,1,4,1,3
100,3,5,1,4,2,3
113,3,5,1,4,2,3
126,3,5,1,4,1,3
137,3,5,1,4,1,3
147,3,5,1,4,1,3
156,3,5,1,4,2,3
163,3,5,1,4,1,3
170,3,5,1,4,2,3
176,3,5,1,4,2,3
181,3,5,1,4,2,3
185,3,5,1,4,2,3
188,3,3,0,4,2,0
188,2,2,0,4mlfq: t=2334 pid=7 tid=7 level 0->1 ema=32% q=4 (quantum used up)
,2,0
2330,2,2,0,4,1,0
2330,7,7,0,4,1,0
2331,7,7,0,4,2,0
2331,7,7,0,4,2,0
2331,7,7,0,4,1,0
2331,7,7,0,4,2,0
